dataset,kind,hf_path,split,source_index,text,original_token_length,token_length
sst2,natural_language,stanfordnlp/sst2,train,28327,"there is little question that this is a serious work by an important director who has something new to say about how , in the flip-flop of courtship , we often reel in when we should",44,40
sst2,natural_language,stanfordnlp/sst2,train,14728,"was when green threw medical equipment at a window ; not because it was particularly funny , but because i had a serious urge to grab the old lady at the end of my aisle 's walker and",47,40
sst2,natural_language,stanfordnlp/sst2,train,7828,"has created a predictably efficient piece of business notable largely for its overwhelming creepiness , for an eagerness to create images you wish you had n't seen , which , in this day and age , is",44,40
sst2,natural_language,stanfordnlp/sst2,train,12582,"i can imagine this movie as a b & w british comedy , circa 1960 , with peter sellers , kenneth williams , et al. , but at this time , with",48,40
sst2,natural_language,stanfordnlp/sst2,train,8329,"a boring , pretentious muddle that uses a sensational , real-life 19th-century crime as a metaphor for -- well , i 'm not exactly sure what -- and has all the dramatic",46,40
sst2,natural_language,stanfordnlp/sst2,train,36642,built on the premise that middle-class arkansas consists of monster truck-loving good ol' boys and peroxide blond honeys whose worldly knowledge comes from tv reruns and supermarket tabloids .,40,40
sst2,natural_language,stanfordnlp/sst2,train,10213,"american musical comedy as we know it would n't exist without the precedent of yiddish theater , whose jolly , fun-for-fun 's - sake communal spirit goes to the essence",44,40
sst2,natural_language,stanfordnlp/sst2,train,14830,", the seesawing of the general 's fate in the arguments of competing lawyers has the stomach-knotting suspense of a legal thriller , while the testimony of witnesses lends the film a reson",46,40
sst2,natural_language,stanfordnlp/sst2,train,17354,"director chris wedge and screenwriters michael berg , michael j. wilson and peter ackerman create some episodes that rival vintage looney tunes for the most creative mayhem in a",45,40
sst2,natural_language,stanfordnlp/sst2,train,9676,"the bourne identity should n't be half as entertaining as it is , but director doug liman and his colleagues have managed to pack it with enough action to satisfy the boom-bam crowd",49,40
sst2,natural_language,stanfordnlp/sst2,train,8925,"the screenplay , which lags badly in the middle and lurches between not-very-funny comedy , unconvincing dramatics and some last-minute action strongly reminiscent of run lola",41,40
sst2,natural_language,stanfordnlp/sst2,train,32574,"the real triumphs in igby come from philippe , who makes oliver far more interesting than the character 's lines would suggest , and sarandon , who could n't be better as",52,40
sst2,natural_language,stanfordnlp/sst2,train,26959,"the movie attempts to mine laughs from a genre -- the gangster/crime comedy -- that wore out its welcome with audiences several years ago , and its cutesy reliance on movie-specific clic",47,40
