dataset,kind,hf_path,split,source_index,text,original_token_length,token_length
sst2,natural_language,stanfordnlp/sst2,train,61850,"imagine anyone managing to steal a movie not only from charismatic rising star jake gyllenhaal but also from accomplished oscar winners susan sarandon , dustin hoffman and h",59,40
sst2,natural_language,stanfordnlp/sst2,train,56029,"lisa rinzler 's cinematography may be lovely , but love liza 's tale itself virtually collapses into an inhalant blackout , maintaining consciousness just long enough to achieve callow pret",42,40
sst2,natural_language,stanfordnlp/sst2,train,43913,"... by the time it 's done with us , mira nair 's new movie has its audience giddy with the delight of discovery , of having been immersed in a foreign culture only to",52,40
sst2,natural_language,stanfordnlp/sst2,train,36642,built on the premise that middle-class arkansas consists of monster truck-loving good ol' boys and peroxide blond honeys whose worldly knowledge comes from tv reruns and supermarket tabloids .,40,40
sst2,natural_language,stanfordnlp/sst2,train,52665,"as an introduction to the man 's theories and influence , derrida is all but useless ; as a portrait of the artist as an endlessly inquisitive old man , however , it 's",41,40
sst2,natural_language,stanfordnlp/sst2,train,51442,"it 's the kind of movie that , aside from robert altman , spike lee , the coen brothers and a few others , our moviemakers do n't make often enough .",40,40
sst2,natural_language,stanfordnlp/sst2,train,62736,"as gamely as the movie tries to make sense of its title character , there remains a huge gap between the film 's creepy , clean-cut dahmer ( jeremy renner )",56,40
sst2,natural_language,stanfordnlp/sst2,train,13713,"to those who have not read the book , the film is a much better mother-daughter tale than last summer 's ` divine secrets of the ya-ya sisterhood , ' but that 's",44,40
sst2,natural_language,stanfordnlp/sst2,train,47163,"it has a dashing and resourceful hero ; a lisping , reptilian villain ; big fights ; big hair ; lavish period scenery ; and a story just complicated enough to let you bask in",51,40
sst2,natural_language,stanfordnlp/sst2,train,4365,"as famous prima donna floria tosca , roberto alagna as her lover mario cavaradossi , and ruggero as the villainous , lecherous police",45,40
sst2,natural_language,stanfordnlp/sst2,train,27247,"the 3-d vistas from orbit , with the space station suspended like a huge set of wind chimes over the great blue globe , are stanzas of breathtaking , awe-inspiring visual",42,40
sst2,natural_language,stanfordnlp/sst2,train,62464,"so bland that even as rogue cia assassins working for chris cooper 's agency boss close in on the resourceful amnesiac , we do n't feel much for damon/bourne or",42,40
sst2,natural_language,stanfordnlp/sst2,train,58142,"( toback 's ) fondness for fancy split-screen , stuttering editing and pompous references to wittgenstein and kirkegaard ... blends uneasily with the titill",43,40
sst2,natural_language,stanfordnlp/sst2,train,33052,"rifkin no doubt fancies himself something of a hubert selby jr. , but there is n't an ounce of honest poetry in his entire script ; it 's simply",47,40
sst2,natural_language,stanfordnlp/sst2,train,65648,"filmmaker stacy peralta has a flashy editing style that does n't always jell with sean penn 's monotone narration , but he respects the material without sentimentalizing it",41,40
sst2,natural_language,stanfordnlp/sst2,train,8413,", kissing jessica stein injects freshness and spirit into the romantic comedy genre , which has been held hostage by generic scripts that seek to remake sleepless in seattle again and again .",40,40
sst2,natural_language,stanfordnlp/sst2,train,13930,"thinking about how good it all was , and started doing nothing but reacting to it - feeling a part of its grand locations , thinking urgently as the protagonists struggled , feeling at the mercy of its inventiveness",48,40
sst2,natural_language,stanfordnlp/sst2,train,12266,tykwer 's surface flash is n't just a poor fit with kieslowski 's lyrical pessimism ; it completely contradicts everything kieslowski 's work aspired to,47,40
sst2,natural_language,stanfordnlp/sst2,train,57000,"real women have curves '' is a sweet , honest , and enjoyable comedy-drama about a young woman who wants many things in life , but fears she 'll become her mother before she gets to",44,40
sst2,natural_language,stanfordnlp/sst2,train,6593,"even if you do n't know the band or the album 's songs by heart , you will enjoy seeing how both evolve , and you will also learn a good deal about the state of the music",47,40
sst2,natural_language,stanfordnlp/sst2,train,40527,"sandra bullock , despite downplaying her good looks , carries a little too much ai n't - she-cute baggage into her lead role as a troubled and determined homicide cop to quite",46,40
sst2,natural_language,stanfordnlp/sst2,train,1622,"does its best to work us over , with second helpings of love , romance , tragedy , false dawns , real dawns , comic relief , two separate crises during marriage ceremonies , and the lush",48,40
sst2,natural_language,stanfordnlp/sst2,train,48595,"irritates and saddens me that martin lawrence 's latest vehicle can explode obnoxiously into 2,500 screens while something of bubba ho-tep 's clearly evident quality",49,40
sst2,natural_language,stanfordnlp/sst2,train,50937,"hard to care about a film that proposes as epic tragedy the plight of a callow rich boy who is forced to choose between his beautiful , self-satisfied 22-year-old girlfriend and",55,40
sst2,natural_language,stanfordnlp/sst2,train,34135,", there is a really cool bit -- the movie 's conception of a future-world holographic librarian ( orlando jones ) who knows everything and answers all questions , is visually smart ,",48,40
sst2,natural_language,stanfordnlp/sst2,train,28980,come from seeing former nymphette juliette lewis playing a salt-of-the-earth mommy named minnie and watching slim travel incognito in a ridiculous,53,40
sst2,natural_language,stanfordnlp/sst2,train,10811,"the movie does its best to work us over , with second helpings of love , romance , tragedy , false dawns , real dawns , comic relief , two separate crises during marriage ceremonies , and",50,40
sst2,natural_language,stanfordnlp/sst2,train,43685,"this movie may not have the highest production values you 've ever seen , but it 's the work of an artist , one whose view of america , history and the awkwardness of human life",44,40
sst2,natural_language,stanfordnlp/sst2,train,59167,"after a while , the only way for a reasonably intelligent person to get through the country bears is to ponder how a whole segment of pop-music history has been allowed to get wet , fuzzy and sticky",41,40
sst2,natural_language,stanfordnlp/sst2,train,63013,mattei 's underdeveloped effort here is nothing but a convenient conveyor belt of brooding personalities that parade about as if they were coming back from stock character camp -- a drowsy drama,52,40
sst2,natural_language,stanfordnlp/sst2,train,44827,", broomfield has compelling new material but he does n't unveil it until the end , after endless scenes of him wheedling reluctant witnesses and pointing his camera through the smeared windshield of his rental",42,40
sst2,natural_language,stanfordnlp/sst2,train,45684,"there is something in full frontal , i guess , about artifice and acting and how it distorts reality for people who make movies and watch them , but like most movie riddles , it works only",51,40
sst2,natural_language,stanfordnlp/sst2,train,45290,"the film is ... determined to treat its characters , weak and strong , as fallible human beings , not caricatures , and to carefully delineate the cost of the inevitable conflicts between human urges and an",48,40
sst2,natural_language,stanfordnlp/sst2,train,43940,"the acting is amateurish , the cinematography is atrocious , the direction is clumsy , the writing is insipid and the violence is at once luridly graphic and laughably unconvinc",41,40
sst2,natural_language,stanfordnlp/sst2,train,44823,"it may not be a great piece of filmmaking , but its power comes from its soul 's - eye view of how well-meaning patronizing masked a social injustice , at least as represented by this",42,40
sst2,natural_language,stanfordnlp/sst2,train,61654,"attal 's hang-ups surrounding infidelity are so old-fashioned and , dare i say , outdated , it 's a wonder that he could n't have brought something fresher to the",44,40
sst2,natural_language,stanfordnlp/sst2,train,53740,"a boring , pretentious muddle that uses a sensational , real-life 19th-century crime as a metaphor for -- well , i 'm not exactly sure what -- and has all the dramatic",45,40
sst2,natural_language,stanfordnlp/sst2,train,19568,"what lifts the film high above run-of-the-filth gangster flicks is its refusal to recognize any of the signposts , as if discovering a way through to the bitter end without",43,40
sst2,natural_language,stanfordnlp/sst2,train,2913,"arrive early and stay late , filling nearly every minute ... with a lighthearted glow , some impudent snickers , and a glorious dose of humankind 's liberating ability to triumph over a sc",44,40
sst2,natural_language,stanfordnlp/sst2,train,160,"caruso sometimes descends into sub-tarantino cuteness ... but for the most part he makes sure the salton sea works the way a good noir should , keeping it tight and",42,40
sst2,natural_language,stanfordnlp/sst2,train,30218,"a superfluous sequel ... plagued by that old familiar feeling of ` let 's get this thing over with ' : everyone has shown up at the appointed time and place , but visible enthusiasm is mighty hard",43,40
sst2,natural_language,stanfordnlp/sst2,train,38216,"a stirring tribute to the bravery and dedication of the world 's reporters who willingly walk into the nightmare of war not only to record the events for posterity , but to help us clearly see the world",44,40
sst2,natural_language,stanfordnlp/sst2,train,26959,"the movie attempts to mine laughs from a genre -- the gangster/crime comedy -- that wore out its welcome with audiences several years ago , and its cutesy reliance on movie-specific clic",47,40
sst2,natural_language,stanfordnlp/sst2,train,59030,"most consumers of lo mein and general tso 's chicken barely give a thought to the folks who prepare and deliver it , so , hopefully , this film will attach a human face to all those",46,40
sst2,natural_language,stanfordnlp/sst2,train,14951,"blade ii is still top-heavy with blazing guns , cheatfully filmed martial arts , disintegrating bloodsucker computer effects and jagged camera moves that serve no other purpose than to call attention to themselves",41,40
sst2,natural_language,stanfordnlp/sst2,train,66648,am highly amused by the idea that we have come to a point in society where it has been deemed important enough to make a film in which someone has to be hired to portray richard dawson,41,40
sst2,natural_language,stanfordnlp/sst2,train,27981,"the story of trouble every day ... is so sketchy it amounts to little more than preliminary notes for a science-fiction horror film , and the movie 's fragmentary narrative style makes piecing the",44,40
sst2,natural_language,stanfordnlp/sst2,train,16828,"this film is so different from the apple and so striking that it can only encourage us to see samira makhmalbaf as a very distinctive sensibility , working to develop her own film language",44,40
