dataset,kind,hf_path,split,source_index,text,original_token_length,token_length
sst2,natural_language,stanfordnlp/sst2,train,38619,that the real antwone fisher was able to overcome his personal obstacles and become a good man is a wonderful thing ; that he has been able to share his story so compellingly with us is a,43,40
sst2,natural_language,stanfordnlp/sst2,train,31450,"that rare movie that works on any number of levels -- as a film of magic and whimsy for children , a heartfelt romance for teenagers and a compelling argument about death , both pro and con , for",42,40
sst2,natural_language,stanfordnlp/sst2,train,43128,"we got ten little indians meets friday the 13th by way of clean and sober , filmed on the set of carpenter 's the thing and loaded with actors you 're most likely to",51,40
sst2,natural_language,stanfordnlp/sst2,train,19358,"beating the austin powers films at their own game , this blaxploitation spoof downplays the raunch in favor of gags that rely on the strength of their own cleverness",50,40
sst2,natural_language,stanfordnlp/sst2,train,43685,"this movie may not have the highest production values you 've ever seen , but it 's the work of an artist , one whose view of america , history and the awkwardness of human life",44,40
sst2,natural_language,stanfordnlp/sst2,train,31781,the nicest thing that can be said about stealing harvard ( which might have been called freddy gets molested by a dog ) is that it 's not as obnoxious as tom green ',48,40
sst2,natural_language,stanfordnlp/sst2,train,14088,there has been a string of ensemble cast romances recently ... but peter mattei 's love in the time of money sets itself apart by forming a chain of relationships that come full circle to end,49,40
sst2,natural_language,stanfordnlp/sst2,train,12432,"it 's something of the ultimate scorsese film , with all the stomach-turning violence , colorful new york gang lore and other hallmarks of his personal cinema painted on their largest-",44,40
sst2,natural_language,stanfordnlp/sst2,train,8013,"schepisi , aided by a cast that seems to include every top-notch british actor who did not appear in gosford park ( as well as one , ms. mirren",51,40
sst2,natural_language,stanfordnlp/sst2,train,19114,"of a callow rich boy who is forced to choose between his beautiful , self-satisfied 22-year-old girlfriend and an equally beautiful , self-satisfied 18-year-",42,40
sst2,natural_language,stanfordnlp/sst2,train,3620,"for most of its footage , the new thriller proves that director m. night shyamalan can weave an eerie spell and that mel gibson can gasp , shudder and even tremble without losing his mach",42,40
sst2,natural_language,stanfordnlp/sst2,train,17354,"director chris wedge and screenwriters michael berg , michael j. wilson and peter ackerman create some episodes that rival vintage looney tunes for the most creative mayhem in a",45,40
sst2,natural_language,stanfordnlp/sst2,train,58686,"one hour photo may seem disappointing in its generalities , but it 's the little nuances that perhaps had to escape from director mark romanek 's self-conscious scrutiny to happen , that finally",45,40
sst2,natural_language,stanfordnlp/sst2,train,14421,"the film is filled with humorous observations about the general absurdity of modern life as seen through the eyes outsiders , but deftly manages to avoid many of the condescending stereotypes that so often plague films dealing with",44,40
