dataset,kind,hf_path,split,source_index,text,original_token_length,token_length
sst2,natural_language,stanfordnlp/sst2,train,21750,"there are n't too many films that can be as simultaneously funny , offbeat and heartwarming ( without a thick shmear of the goo , at least ) , but `` elling ''",60,40
sst2,natural_language,stanfordnlp/sst2,train,21905,"is a really cool bit -- the movie 's conception of a future-world holographic librarian ( orlando jones ) who knows everything and answers all questions , is visually smart , cleverly",45,40
sst2,natural_language,stanfordnlp/sst2,train,39026,"stuffed to the brim with ideas , american instigator michael moore 's film is a rambling examination of american gun culture that uses his usual modus operandi of crucifixion",44,40
sst2,natural_language,stanfordnlp/sst2,train,8187,"as janice , eileen walsh , an engaging , wide-eyed actress whose teeth are a little too big for her mouth , infuses the movie with much of its slender , glinting",42,40
sst2,natural_language,stanfordnlp/sst2,train,54054,"... spiced with humor ( ' i speak fluent flatula , ' advises denlopp after a rather , er , bubbly exchange with an alien deckhand ) and witty updatings ( silver '",61,40
sst2,natural_language,stanfordnlp/sst2,train,27135,this dreadfully earnest inversion of the concubine love triangle eschews the previous film 's historical panorama and roiling pathos for bug-eyed mugging and gay-niche condesc,42,40
sst2,natural_language,stanfordnlp/sst2,train,19491,"does n't trust laughs -- and does n't conjure proper respect for followers of the whole dead-undead genre , who deserve more from a vampire pic than a few shrieky special effects",41,40
sst2,natural_language,stanfordnlp/sst2,train,1552,"it 's got all the familiar bruckheimer elements , and schumacher does probably as good a job as anyone at bringing off the hopkins/rock collision of acting styles and onscreen person",41,40
sst2,natural_language,stanfordnlp/sst2,train,48611,", crocodile hunter has the hurried , badly cobbled look of the 1959 godzilla , which combined scenes of a japanese monster flick with canned shots of raymond burr commenting on the monster",46,40
sst2,natural_language,stanfordnlp/sst2,train,23287,"the film has the high-buffed gloss and high-octane jolts you expect of de palma , but what makes it transporting is that it 's also one of the smartest ,",58,40
sst2,natural_language,stanfordnlp/sst2,train,9163,"instead of using george and lucy 's most obvious differences to ignite sparks , lawrence desperately looks elsewhere , seizing on george 's haplessness and lucy 's personality",43,40
sst2,natural_language,stanfordnlp/sst2,train,3631,"ca n't accuse kung pow for misfiring , since it is exactly what it wants to be : an atrociously , mind-numbingly , indescribably bad movie .",40,40
sst2,natural_language,stanfordnlp/sst2,train,43731,"the movie attempts to mine laughs from a genre -- the gangster/crime comedy -- that wore out its welcome with audiences several years ago , and its cutesy reliance on movie-specific clic",48,40
sst2,natural_language,stanfordnlp/sst2,train,42703,"'s something of the ultimate scorsese film , with all the stomach-turning violence , colorful new york gang lore and other hallmarks of his personal cinema painted on their largest-ever historical",41,40
sst2,natural_language,stanfordnlp/sst2,train,30752,"is ... determined to treat its characters , weak and strong , as fallible human beings , not caricatures , and to carefully delineate the cost of the inevitable conflicts between human urges and an institution concerned",45,40
sst2,natural_language,stanfordnlp/sst2,train,22251,"it 's tough to tell which is in more abundant supply in this woefully hackneyed movie , directed by scott kalvert , about street gangs and turf wars in 1958 brooklyn",55,40
sst2,natural_language,stanfordnlp/sst2,train,25714,"louiso lets the movie dawdle in classic disaffected-indie-film mode , and brother hoffman 's script stumbles over a late-inning twist that just does",45,40
sst2,natural_language,stanfordnlp/sst2,train,47698,can only assume that the jury who bestowed star hoffman 's brother gordy with the waldo salt screenwriting award at 2002 's sundance festival were honoring an attempt to do something,46,40
sst2,natural_language,stanfordnlp/sst2,train,5860,", city by the sea swings from one approach to the other , but in the end , it stays in formula -- which is a waste of de niro , mcdormand and the other good",45,40
sst2,natural_language,stanfordnlp/sst2,train,9158,"the camera soars above the globe in dazzling panoramic shots that make the most of the large-screen format , before swooping down on a string of exotic locales , scooping the whole",51,40
sst2,natural_language,stanfordnlp/sst2,train,39725,"there 's no point of view , no contemporary interpretation of joan 's prefeminist plight , so we 're left thinking the only reason to make the movie is because present standards allow for",44,40
sst2,natural_language,stanfordnlp/sst2,train,44804,"stopped thinking about how good it all was , and started doing nothing but reacting to it - feeling a part of its grand locations , thinking urgently as the protagonists struggled , feeling at the mercy of its",51,40
sst2,natural_language,stanfordnlp/sst2,train,46322,"if festival in cannes nails hard - boiled hollywood argot with a bracingly nasty accuracy , much about the film , including some of its casting , is frustratingly unconvincing .",40,40
sst2,natural_language,stanfordnlp/sst2,train,19808,"'s lovely and amazing , from her own screenplay , jumps to the head of the class of women 's films that manage to avoid the ghetto of sentimental chick-flicks by treating female follies with",43,40
sst2,natural_language,stanfordnlp/sst2,train,15158,"yes , i suppose it 's lovely that cal works out his issues with his dad and comes to terms with his picture-perfect life -- but world traveler gave me no reason to care , so i",44,40
sst2,natural_language,stanfordnlp/sst2,train,32688,"with the gifted pearce on hand to keep things on semi-stable ground dramatically , this retooled machine is ultimately effective enough at achieving the modest , crowd-pleasing goals it sets for itself",41,40
sst2,natural_language,stanfordnlp/sst2,train,42773,"for all of its insights into the dream world of teen life , and its electronic expression through cyber culture , the film gives no quarter to anyone seeking to pull a cohesive story out of its 2 1/",46,40
sst2,natural_language,stanfordnlp/sst2,train,29795,"normally , rohmer 's talky films fascinate me , but when he moves his setting to the past , and relies on a historical text , he loses the richness of characterization that makes",45,40
sst2,natural_language,stanfordnlp/sst2,train,32139,"one thing 's for sure -- if george romero had directed this movie , it would n't have taken the protagonists a full hour to determine that in order to kill a zombie you must shoot",44,40
sst2,natural_language,stanfordnlp/sst2,train,61532,"plunges you into a reality that is , more often then not , difficult and sad , and then , without sentimentalizing it or denying its brutality , transforms that reality into a lyrical and celebr",43,40
sst2,natural_language,stanfordnlp/sst2,train,17537,"it could have been something special , but two things drag it down to mediocrity -- director clare peploe 's misunderstanding of marivaux 's rhythms , and mira sorv",48,40
sst2,natural_language,stanfordnlp/sst2,train,38967,"in the end , the film is less the cheap thriller you 'd expect than it is a fairly revealing study of its two main characters -- damaged-goods people whose orbits will inevitably and dangerously collide",41,40
sst2,natural_language,stanfordnlp/sst2,train,52658,our culture is headed down the toilet with the ferocity of a frozen burrito after an all-night tequila bender -- and i know this because i 've seen ` jackass : the,42,40
sst2,natural_language,stanfordnlp/sst2,train,30688,"will revel in those visual in-jokes , as in the film 's verbal pokes at everything from the likes of miramax chief harvey weinstein 's bluff personal style to the",51,40
sst2,natural_language,stanfordnlp/sst2,train,58761,"'s hard to care about a film that proposes as epic tragedy the plight of a callow rich boy who is forced to choose between his beautiful , self-satisfied 22-year-old girlfriend",56,40
sst2,natural_language,stanfordnlp/sst2,train,4158,", wendigo , larry fessenden 's spooky new thriller , is a refreshingly smart and newfangled variation on several themes derived from far less sophisticated and knowing horror films",41,40
