dataset,kind,hf_path,split,source_index,text,original_token_length,token_length
sst2,natural_language,stanfordnlp/sst2,train,21449,"transcends its agenda to deliver awe-inspiring , at times sublime , visuals and offer a fascinating glimpse into the subculture of extreme athletes whose derring-do puts the x into the games",40,40
sst2,natural_language,stanfordnlp/sst2,train,44066,"even as it pays earnest homage to turntablists and beat jugglers , old schoolers and current innovators , scratch is great fun , full of the kind of energy it 's documenting .",40,40
sst2,natural_language,stanfordnlp/sst2,train,9228,"does n't trust laughs -- and does n't conjure proper respect for followers of the whole dead-undead genre , who deserve more from a vampire pic than a few shrieky special effects",40,40
sst2,natural_language,stanfordnlp/sst2,train,37651,but a convenient conveyor belt of brooding personalities that parade about as if they were coming back from stock character camp -- a drowsy drama infatuated by its own pretentious self-examination,40,40
sst2,natural_language,stanfordnlp/sst2,train,22531,"as predictable as the outcome of a globetrotters-generals game , juwanna mann is even more ludicrous than you 'd expect from the guy-in-a-dress genre",41,40
sst2,natural_language,stanfordnlp/sst2,train,35722,"wendigo , larry fessenden 's spooky new thriller , is a refreshingly smart and newfangled variation on several themes derived from far less sophisticated and knowing horror films .",40,40
sst2,natural_language,stanfordnlp/sst2,train,16297,"for those who pride themselves on sophisticated , discerning taste , this might not seem like the proper cup of tea , however it is almost guaranteed that even the stuffiest cinema goers will laugh their ***",51,40
sst2,natural_language,stanfordnlp/sst2,train,51232,"is destined to be the 21st century 's new `` conan '' and that he 's going to make a splash even greater than arnold schwarzenegger , jean-cl",49,40
sst2,natural_language,stanfordnlp/sst2,train,44071,"no , i do n't know why steven seagal is considered a star , nor why he keeps being cast in action films when none of them are ever any good or make any money .",40,40
sst2,natural_language,stanfordnlp/sst2,train,13826,"if welles was unhappy at the prospect of the human race splitting in two , he probably would n't be too crazy with his great-grandson 's movie splitting up in pretty much the same",42,40
sst2,natural_language,stanfordnlp/sst2,train,4365,"as famous prima donna floria tosca , roberto alagna as her lover mario cavaradossi , and ruggero as the villainous , lecherous police",45,40
sst2,natural_language,stanfordnlp/sst2,train,63021,it 's mired in a shabby script that piles layer upon layer of action man cliché atop wooden dialogue and a shifting tone that falls far short of the peculiarly moral amorality of (,47,40
sst2,natural_language,stanfordnlp/sst2,train,42649,"sitting in the third row of the imax cinema at sydney 's darling harbour , but i sometimes felt as though i was in the tiny two seater plane that carried the giant camera",52,40
sst2,natural_language,stanfordnlp/sst2,train,36366,"that kate is n't very bright , but that she has n't been worth caring about and that maybe she , janine and molly -- an all-woman dysfunctional family -- deserve one another",40,40
sst2,natural_language,stanfordnlp/sst2,train,29761,"implicitly acknowledges and celebrates the glorious chicanery and self-delusion of this most american of businesses , and for that reason it may be the most oddly honest hollywood document of all",40,40
sst2,natural_language,stanfordnlp/sst2,train,58991,"an unremittingly ugly movie to look at , listen to , and think about , it is quite possibly the sturdiest example yet of why the dv revolution has cheapened the artistry of",44,40
sst2,natural_language,stanfordnlp/sst2,train,12582,"i can imagine this movie as a b & w british comedy , circa 1960 , with peter sellers , kenneth williams , et al. , but at this time , with",48,40
sst2,natural_language,stanfordnlp/sst2,train,30426,"is a sort of geriatric dirty harry , which will please eastwood 's loyal fans -- and suits the story , wherein our hero must ride roughshod over incompetent cops to get his man",40,40
sst2,natural_language,stanfordnlp/sst2,train,16828,"this film is so different from the apple and so striking that it can only encourage us to see samira makhmalbaf as a very distinctive sensibility , working to develop her own film language",44,40
sst2,natural_language,stanfordnlp/sst2,train,14783,"shows holmes has the screen presence to become a major-league leading lady , ( but ) the movie itself is an underachiever , a psychological mystery that takes its sweet time building to a climax",51,40
sst2,natural_language,stanfordnlp/sst2,train,14401,"my big fat greek wedding is not only the best date movie of the year , it 's also a -- dare i say it twice -- delightfully charming -- and totally american , i might",47,40
sst2,natural_language,stanfordnlp/sst2,train,45074,"barney 's ideas about creation and identity do n't really seem all that profound , at least by way of what can be gleaned from this three-hour endurance test built around an hour '",46,40
sst2,natural_language,stanfordnlp/sst2,train,29486,"creates a drama with such a well-defined sense of place and age -- as in , 15 years old -- that the torments and angst become almost as operatic to us as they are to",42,40
sst2,natural_language,stanfordnlp/sst2,train,53585,"was when green threw medical equipment at a window ; not because it was particularly funny , but because i had a serious urge to grab the old lady at the end of my aisle 's walker and",48,40
sst2,natural_language,stanfordnlp/sst2,train,15497,"it 's ... worth the extra effort to see an artist , still committed to growth in his ninth decade , change while remaining true to his principles with a film whose very subject is , quite pointedly",48,40
sst2,natural_language,stanfordnlp/sst2,train,22703,"snoots will no doubt rally to its cause , trotting out threadbare standbys like ` masterpiece ' and ` triumph ' and all that malarkey , but rarely does an established filmmaker so",54,40
sst2,natural_language,stanfordnlp/sst2,train,20816,"what makes salton sea surprisingly engrossing is that caruso takes an atypically hypnotic approach to a world that 's often handled in fast-edit , hopped-up fashion .",40,40
sst2,natural_language,stanfordnlp/sst2,train,59553,"many ways the perfect festival film : a calm , self-assured portrait of small town regret , love , duty and friendship that appeals to the storytelling instincts of a slightly more literate filmgoing audience",40,40
sst2,natural_language,stanfordnlp/sst2,train,38680,"singer/composer bryan adams contributes a slew of songs -- a few potential hits , a few more simply intrusive to the story -- but the whole package certainly captures the intended , er",45,40
sst2,natural_language,stanfordnlp/sst2,train,29992,"typical animé , with cheapo animation ( like saturday morning tv in the '60s ) , a complex sword-and-sorcery plot and characters who all have big round eyes",46,40
sst2,natural_language,stanfordnlp/sst2,train,5421,"with mcconaughey in an entirely irony-free zone and bale reduced mainly to batting his sensitive eyelids , there 's not enough intelligence , wit or innovation on the screen to attract",46,40
sst2,natural_language,stanfordnlp/sst2,train,46969,"reggio and glass so rhapsodize cynicism , with repetition and languorous slo-mo sequences , that glass 's dirgelike score becomes a fang-baring lullaby",41,40
sst2,natural_language,stanfordnlp/sst2,train,5063,"clint eastwood 's blood work is a lot like a well-made pb & j sandwich : familiar , fairly uneventful and boasting no real surprises -- but still quite tasty and inviting",44,40
sst2,natural_language,stanfordnlp/sst2,train,39958,"shows holmes has the screen presence to become a major-league leading lady , ( but ) the movie itself is an underachiever , a psychological mystery that takes its sweet time building to a climax",52,40
sst2,natural_language,stanfordnlp/sst2,train,22009,"while parker and co-writer catherine di napoli are faithful to melville 's plotline , they and a fully engaged supporting cast ... have made the old boy 's characters more quick",53,40
sst2,natural_language,stanfordnlp/sst2,train,2429,"leave it to john sayles to take on developers , the chamber of commerce , tourism , historical pageants , and commercialism all in the same movie ... without neglecting character development for even one minute",40,40
sst2,natural_language,stanfordnlp/sst2,train,49461,robert harmon 's less-is-more approach delivers real bump-in - the-night chills -- his greatest triumph is keeping the creepy crawlies hidden in the film 's thick shadows,40,40
sst2,natural_language,stanfordnlp/sst2,train,739,"famuyiwa 's feature deals with its subject matter in a tasteful , intelligent manner , rather than forcing us to endure every plot contrivance that the cliché-riddled genre can offer",41,40
sst2,natural_language,stanfordnlp/sst2,train,4579,"while the story is better-focused than the incomprehensible anne rice novel it 's based upon , queen of the damned is a pointless , meandering celebration of the goth-vampire , tortured",48,40
sst2,natural_language,stanfordnlp/sst2,train,59213,"hatfield and hicks make the oddest of couples , and in this sense the movie becomes a study of the gambles of the publishing world , offering a case study that exists apart from all the",45,40
sst2,natural_language,stanfordnlp/sst2,train,33540,"irritates and saddens me that martin lawrence 's latest vehicle can explode obnoxiously into 2,500 screens while something of bubba ho-tep 's clearly evident quality",50,40
sst2,natural_language,stanfordnlp/sst2,train,48736,"like the english patient and the unbearable lightness of being , the hours is one of those reputedly `` unfilmable '' novels that has bucked the odds to emerge as an exquisite motion picture",45,40
sst2,natural_language,stanfordnlp/sst2,train,2934,"so we got ten little indians meets friday the 13th by way of clean and sober , filmed on the set of carpenter 's the thing and loaded with actors you 're most likely",52,40
sst2,natural_language,stanfordnlp/sst2,train,2661,"notwithstanding my problem with the movie 's final half hour , i 'm going to recommend secretary , based on the wonderful acting clinic put on by spader and gyllenhaal , and",40,40
sst2,natural_language,stanfordnlp/sst2,train,16464,"terrific as nadia , a russian mail-order bride who comes to america speaking not a word of english , it 's kidman who holds the film together with a supremely",50,40
sst2,natural_language,stanfordnlp/sst2,train,37072,"is a variant of the nincompoop benigni persona , here a more annoying , though less angry version of the irresponsible sandlerian manchild , undercut by the voice of the star of road trip",40,40
sst2,natural_language,stanfordnlp/sst2,train,10348,"martin lawrence 's latest vehicle can explode obnoxiously into 2,500 screens while something of bubba ho-tep 's clearly evident quality may end up languishing on a shelf",41,40
sst2,natural_language,stanfordnlp/sst2,train,56492,wo n't be placed in the pantheon of the best of the swashbucklers but it is a whole lot of fun and you get to see the one of the world 's best actors,48,40
sst2,natural_language,stanfordnlp/sst2,train,2437,"at three hours and with very little story or character development , there is plenty of room for editing , and a much shorter cut surely would have resulted in a smoother , more focused narrative without sacrificing any of",44,40
sst2,natural_language,stanfordnlp/sst2,train,34770,you get the impression that writer and director burr steers knows the territory ... but his sense of humor has yet to lose the smug self-satisfaction usually associated with the better private schools .,40,40
sst2,natural_language,stanfordnlp/sst2,train,24428,"of the same from taiwanese auteur tsai ming-liang , which is good news to anyone who 's fallen under the sweet , melancholy spell of this unique director 's",42,40
sst2,natural_language,stanfordnlp/sst2,train,5520,"the plot of the comeback curlers is n't very interesting actually , but what i like about men with brooms and what is kind of special is how the film knows what 's unique and quirky",44,40
sst2,natural_language,stanfordnlp/sst2,train,34057,'d take ( its ) earnest errors and hard-won rewards over the bombastic self-glorification of other feel-good fiascos like antwone fisher or the emperor 's club,42,40
sst2,natural_language,stanfordnlp/sst2,train,50993,"even if invincible is not quite the career peak that the pianist is for roman polanski , it demonstrates that werner herzog can still leave us with a sense of wonder at the",50,40
sst2,natural_language,stanfordnlp/sst2,train,16224,the whole film has this sneaky feel to it -- as if the director is trying to dupe the viewer into taking it all as very important simply because the movie is ugly to look at and not a,44,40
sst2,natural_language,stanfordnlp/sst2,train,10141,"if disney 's cinderella proved that ' a dream is a wish your heart makes , ' then cinderella ii proves that a nightmare is a wish a studio 's wallet makes .",40,40
sst2,natural_language,stanfordnlp/sst2,train,17023,"are all in the performances , from foreman 's barking-mad taylor to thewlis 's smoothly sinister freddie and bettany/mcdowell 's hard-eyed",42,40
sst2,natural_language,stanfordnlp/sst2,train,59622,"never having seen the first two films in the series , i ca n't compare friday after next to them , but nothing would change the fact that what we have here is a load of clams",51,40
