dataset,kind,hf_path,split,source_index,text,original_token_length,token_length
sst2,natural_language,stanfordnlp/sst2,train,42961,` christian bale 's quinn ( is ) a leather clad grunge-pirate with a hairdo like gandalf in a wind-tunnel and a simply astounding cor,57,40
sst2,natural_language,stanfordnlp/sst2,train,47163,"it has a dashing and resourceful hero ; a lisping , reptilian villain ; big fights ; big hair ; lavish period scenery ; and a story just complicated enough to let you bask in",51,40
sst2,natural_language,stanfordnlp/sst2,train,65408,"whether or not you buy mr. broomfield 's findings , the film acquires an undeniable entertainment value as the slight , pale mr. broomfield continues to force himself on people and into",50,40
sst2,natural_language,stanfordnlp/sst2,train,56572,"an awful lot like one of ( spears ' ) music videos in content -- except that it goes on for at least 90 more minutes and , worse , that you have to pay if you want to see",42,40
sst2,natural_language,stanfordnlp/sst2,train,24325,"sex ironically has little to do with the story , which becomes something about how lame it is to try and evade your responsibilities and that you should never , ever , leave a large dog alone with a toddler",41,40
sst2,natural_language,stanfordnlp/sst2,train,8350,"well , jason 's gone to manhattan and hell , i guess a space station in the year 2455 can be crossed off the list of ideas for the inevitable future sequels ( hey , do",47,40
sst2,natural_language,stanfordnlp/sst2,train,33376,"cuts to the core of what it actually means to face your fears , to be a girl in a world of boys , to be a boy truly in love with a girl , and to ride the big",52,40
sst2,natural_language,stanfordnlp/sst2,train,745,"the result , however well-intentioned , is ironically just the sort of disposable , kitchen-sink homage that illustrates why the whole is so often less than the sum of its parts in today '",44,40
sst2,natural_language,stanfordnlp/sst2,train,1158,p.t. anderson understands the grandness of romance and how love is the great equalizer that can calm us of our daily ills and bring out joys in our lives that we never,43,40
sst2,natural_language,stanfordnlp/sst2,train,2910,"watching this film , one is left with the inescapable conclusion that hitchens ' obsession with kissinger is , at bottom , a sophisticated flower child 's desire to purge the world of the tooth",46,40
sst2,natural_language,stanfordnlp/sst2,train,23957,godard 's ode to tackling life 's wonderment is a rambling and incoherent manifesto about the vagueness of topical excess ... in praise of love remains a ponderous and pret,52,40
sst2,natural_language,stanfordnlp/sst2,train,52984,"has created a predictably efficient piece of business notable largely for its overwhelming creepiness , for an eagerness to create images you wish you had n't seen , which , in this day and age , is",45,40
